Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3340.000;0.077;15.000;Этаж 06 (отм. +16,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;895.000;0.038;15.000;Этаж 06 (отм. +16,050);Секция 2;Штукатурка черновая
BRU_ОтделкаПомещений_ПоБетону_15мм;2820.000;1200.000;0.051;15.000;Этаж 06 (отм. +16,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;4525.000;0.124;15.000;Этаж 06 (отм. +16,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.074;15.000;Этаж 06 (отм. +16,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.067;15.000;Этаж 06 (отм. +16,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3185.000;0.091;15.000;Этаж 06 (отм. +16,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;4805.000;0.109;15.000;Этаж 06 (отм. +16,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.067;15.000;Этаж 06 (отм. +16,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 3;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.074;15.000;Этаж 06 (отм. +16,050);Секция 3;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.076;15.000;Этаж 06 (отм. +16,050);Секция 3;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.067;15.000;Этаж 06 (отм. +16,050);Секция 3;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.074;15.000;Этаж 06 (отм. +16,050);Секция 3;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 3;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.067;15.000;Этаж 06 (отм. +16,050);Секция 3;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.076;15.000;Этаж 06 (отм. +16,050);Секция 3;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.074;15.000;Этаж 06 (отм. +16,050);Секция 4;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 4;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.074;15.000;Этаж 06 (отм. +16,050);Секция 4;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;2995.000;0.060;15.000;Этаж 06 (отм. +16,050);Секция 4;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;6620.000;0.151;15.000;Этаж 06 (отм. +16,050);Секция 4;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.074;15.000;Этаж 06 (отм. +16,050);Секция 4;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 4;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 4;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.074;15.000;Этаж 06 (отм. +16,050);Секция 4;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 4;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 4;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 4;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.067;15.000;Этаж 06 (отм. +16,050);Секция 4;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;4805.000;0.109;15.000;Этаж 06 (отм. +16,050);Секция 4;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.091;15.000;Этаж 06 (отм. +16,050);Секция 4;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 3;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.067;15.000;Этаж 06 (отм. +16,050);Секция 3;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3215.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 3;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3215.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 3;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.067;15.000;Этаж 06 (отм. +16,050);Секция 3;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 3;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.074;15.000;Этаж 06 (отм. +16,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.074;15.000;Этаж 06 (отм. +16,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.076;15.000;Этаж 06 (отм. +16,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;6635.000;0.149;15.000;Этаж 06 (отм. +16,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;895.000;0.038;15.000;Этаж 06 (отм. +16,050);Секция 5;Штукатурка черновая
BRU_ОтделкаПомещений_ПоБетону_15мм;2820.000;1200.000;0.051;15.000;Этаж 06 (отм. +16,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;1405.000;0.059;15.000;Этаж 06 (отм. +16,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;2995.000;0.062;15.000;Этаж 06 (отм. +16,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.074;15.000;Этаж 06 (отм. +16,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 06 (отм. +16,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.073;15.000;Этаж 06 (отм. +16,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.091;15.000;Этаж 06 (отм. +16,050);Секция 5;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.080;15.000;Этаж 07 (отм. +19,050);Секция 1;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3185.000;0.081;15.000;Этаж 07 (отм. +19,050);Секция 1;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.073;15.000;Этаж 07 (отм. +19,050);Секция 1;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 07 (отм. +19,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 07 (отм. +19,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3480.000;0.080;15.000;Этаж 07 (отм. +19,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 07 (отм. +19,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 07 (отм. +19,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3480.000;0.080;15.000;Этаж 07 (отм. +19,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 07 (отм. +19,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3340.000;0.077;15.000;Этаж 07 (отм. +19,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;895.000;0.038;15.000;Этаж 07 (отм. +19,050);Секция 2;Штукатурка черновая
BRU_ОтделкаПомещений_ПоБетону_15мм;2820.000;1200.000;0.051;15.000;Этаж 07 (отм. +19,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;4525.000;0.124;15.000;Этаж 07 (отм. +19,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.074;15.000;Этаж 07 (отм. +19,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 07 (отм. +19,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.067;15.000;Этаж 07 (отм. +19,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.091;15.000;Этаж 07 (отм. +19,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;4805.000;0.109;15.000;Этаж 07 (отм. +19,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.067;15.000;Этаж 07 (отм. +19,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 07 (отм. +19,050);Секция 2;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3170.000;0.069;15.000;Этаж 07 (отм. +19,050);Секция 3;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.074;15.000;Этаж 07 (отм. +19,050);Секция 3;Штукатурка черновая
BRU_Отделка_Кладка_15мм;2820.000;3325.000;0.076;15.000;Этаж 07 (отм. +19,050);Секция 3;Штукатурка черновая
